tanggal,deskripsi,jumlah,tipe,kategori,id
2025-05-06,isi pulsa telkomsel,94000,Pengeluaran,Tagihan,
2025-05-06,beli sabun mandi,244000,Pengeluaran,Belanja,
2025-05-06,beli token busway,52000,Pengeluaran,Transport,
2025-05-06,bayar bensin motor,15000,Pengeluaran,Transport,
2025-05-06,isi bensin pertamax,33000,Pengeluaran,Transport,
2025-05-07,beli deterjen,74000,Pengeluaran,Belanja,
2025-05-07,bayar konsultasi dokter,83000,Pengeluaran,Kesehatan,
2025-05-07,bayar youtube premium,152000,Pengeluaran,Hiburan,
2025-05-07,grab car ke stasiun,53000,Pengeluaran,Transport,
2025-05-08,beli nasi padang,14000,Pengeluaran,Makan,
2025-05-08,beli sate,32000,Pengeluaran,Makan,
2025-05-08,beli tiket konser,186000,Pengeluaran,Hiburan,
2025-05-08,beli bakso,12000,Pengeluaran,Makan,
2025-05-08,honor mengajar les,1250000,Pemasukan,Pemasukan,
2025-05-08,naik ojek online,68000,Pengeluaran,Transport,
2025-05-08,bayar kursus online,295000,Pengeluaran,Pendidikan,
2025-05-08,bayar bensin motor,37000,Pengeluaran,Transport,
2025-05-08,beli pecel lele,34000,Pengeluaran,Makan,
2025-05-08,grab motor ke rumah sakit,68000,Pengeluaran,Transport,
2025-05-08,bayar bensin motor,76000,Pengeluaran,Transport,
2025-05-08,grab motor ke mall,23000,Pengeluaran,Transport,
2025-05-08,nonton film bioskop,195000,Pengeluaran,Hiburan,
2025-05-08,beli tiket konser,143000,Pengeluaran,Hiburan,
2025-05-09,bayar bensin motor,65000,Pengeluaran,Transport,
2025-05-09,beli powerbank,240000,Pengeluaran,Belanja,
2025-05-09,beli komik,193000,Pengeluaran,Hiburan,
2025-05-09,beli obat flu di apotek,79000,Pengeluaran,Kesehatan,
2025-05-09,honor mengajar les,1300000,Pemasukan,Pemasukan,
2025-05-09,isi bensin pertalite,72000,Pengeluaran,Transport,
2025-05-09,makan siang warteg,38000,Pengeluaran,Makan,
2025-05-09,nonton bioskop,151000,Pengeluaran,Hiburan,
2025-05-09,beli celana jeans,346000,Pengeluaran,Belanja,
2025-05-10,isi bensin pertamax,71000,Pengeluaran,Transport,
2025-05-10,beli mie ayam,41000,Pengeluaran,Makan,
2025-05-10,bayar youtube premium,179000,Pengeluaran,Hiburan,
2025-05-10,beli celana jeans,88000,Pengeluaran,Belanja,
2025-05-10,bayar bensin motor,62000,Pengeluaran,Transport,
2025-05-10,beli jus buah,22000,Pengeluaran,Makan,
2025-05-10,isi bensin pertalite,29000,Pengeluaran,Transport,
2025-05-11,beli sepatu tokopedia,252000,Pengeluaran,Belanja,
2025-05-11,makan di warteg,38000,Pengeluaran,Makan,
2025-05-11,fotokopi materi kuliah,250000,Pengeluaran,Pendidikan,
2025-05-11,transfer beasiswa,450000,Pemasukan,Pemasukan,
2025-05-11,beli sate,9000,Pengeluaran,Makan,
2025-05-11,bayar seminar,271000,Pengeluaran,Pendidikan,
2025-05-11,makan malam warung,13000,Pengeluaran,Makan,
2025-05-11,bayar langganan aplikasi,284000,Pengeluaran,Tagihan,
2025-05-12,beli bakso,17000,Pengeluaran,Makan,
2025-05-12,beli es teh,43000,Pengeluaran,Makan,
2025-05-12,jajan gorengan,24000,Pengeluaran,Makan,
2025-05-12,beli alat tulis,267000,Pengeluaran,Pendidikan,
2025-05-12,naik bus trans,42000,Pengeluaran,Transport,
2025-05-12,beli sate,26000,Pengeluaran,Makan,
2025-05-12,naik angkot,17000,Pengeluaran,Transport,
2025-05-12,bayar seminar,230000,Pengeluaran,Pendidikan,
2025-05-12,beli kopi susu,28000,Pengeluaran,Makan,
2025-05-12,beli sandal,165000,Pengeluaran,Belanja,
2025-05-12,makan di warteg,10000,Pengeluaran,Makan,
2025-05-12,main billiard,69000,Pengeluaran,Hiburan,
2025-05-13,beli tas ransel,264000,Pengeluaran,Belanja,
2025-05-13,sarapan nasi uduk,27000,Pengeluaran,Makan,
2025-05-13,beli martabak,30000,Pengeluaran,Makan,
2025-05-13,gojek ke kos,12000,Pengeluaran,Transport,
2025-05-13,bayar puskesmas,189000,Pengeluaran,Kesehatan,
2025-05-13,beli jus buah,38000,Pengeluaran,Makan,
2025-05-13,hasil jualan online,450000,Pemasukan,Pemasukan,
2025-05-13,beli masker kesehatan,43000,Pengeluaran,Kesehatan,
2025-05-13,beli roti bakar,29000,Pengeluaran,Makan,
2025-05-14,makan malam warung,32000,Pengeluaran,Makan,
2025-05-14,bayar wifi indihome,363000,Pengeluaran,Tagihan,
2025-05-14,beli martabak,32000,Pengeluaran,Makan,
2025-05-14,beli kopi susu,29000,Pengeluaran,Makan,
2025-05-14,beli bubble tea,10000,Pengeluaran,Makan,
2025-05-15,beli pecel lele,24000,Pengeluaran,Makan,
2025-05-15,bayar konsultasi dokter,37000,Pengeluaran,Kesehatan,
2025-05-15,naik bus trans,33000,Pengeluaran,Transport,
2025-05-15,naik bus trans,61000,Pengeluaran,Transport,
2025-05-15,beli bakso,25000,Pengeluaran,Makan,
2025-05-15,print dan jilid laporan,315000,Pengeluaran,Pendidikan,
2025-05-15,beli obat maag,89000,Pengeluaran,Kesehatan,
2025-05-15,beli obat flu di apotek,23000,Pengeluaran,Kesehatan,
2025-05-16,top up gopay,334000,Pengeluaran,Tagihan,
2025-05-16,isi bensin pertamax,41000,Pengeluaran,Transport,
2025-05-16,beli jus buah,26000,Pengeluaran,Makan,
2025-05-16,beli sate,22000,Pengeluaran,Makan,
2025-05-16,bayar wifi indihome,547000,Pengeluaran,Tagihan,
2025-05-17,beli buku referensi,205000,Pengeluaran,Pendidikan,
2025-05-17,beli token busway,22000,Pengeluaran,Transport,
2025-05-18,main bowling,132000,Pengeluaran,Hiburan,
2025-05-18,bayar kartu pelajar,95000,Pengeluaran,Tagihan,
2025-05-18,beli ayam geprek,40000,Pengeluaran,Makan,
2025-05-18,naik angkot,50000,Pengeluaran,Transport,
2025-05-18,beli aksesoris hp,141000,Pengeluaran,Belanja,
2025-05-18,bayar parkir motor,9000,Pengeluaran,Transport,
2025-05-18,jajan gorengan,44000,Pengeluaran,Makan,
2025-05-19,naik gojek ke kampus,51000,Pengeluaran,Transport,
2025-05-19,beli deterjen,192000,Pengeluaran,Belanja,
2025-05-19,beli bubble tea,39000,Pengeluaran,Makan,
2025-05-19,makan malam warung,19000,Pengeluaran,Makan,
2025-05-19,bayar spotify premium,44000,Pengeluaran,Hiburan,
2025-05-19,bayar netflix,61000,Pengeluaran,Hiburan,
2025-05-19,naik angkot,40000,Pengeluaran,Transport,
2025-05-19,nonton film bioskop,143000,Pengeluaran,Hiburan,
2025-05-19,bayaran freelance desain,1050000,Pemasukan,Pemasukan,
2025-05-19,beli komik,147000,Pengeluaran,Hiburan,
2025-05-20,grab motor ke mall,48000,Pengeluaran,Transport,
2025-05-20,beli pecel lele,35000,Pengeluaran,Makan,
2025-05-20,bayar youtube premium,22000,Pengeluaran,Hiburan,
2025-05-20,makan di warteg,32000,Pengeluaran,Makan,
2025-05-20,beli martabak,33000,Pengeluaran,Makan,
2025-05-20,isi bensin pertamax,49000,Pengeluaran,Transport,
2025-05-21,beli baju olahraga,71000,Pengeluaran,Belanja,
2025-05-21,beli tiket konser,100000,Pengeluaran,Hiburan,
2025-05-21,beli hand sanitizer,38000,Pengeluaran,Kesehatan,
2025-05-21,naik ojek online,68000,Pengeluaran,Transport,
2025-05-22,beli jus buah,11000,Pengeluaran,Makan,
2025-05-22,isi saldo e-money,334000,Pengeluaran,Tagihan,
2025-05-22,makan siang warteg,14000,Pengeluaran,Makan,
2025-05-22,main billiard,74000,Pengeluaran,Hiburan,
2025-05-22,beli pecel lele,37000,Pengeluaran,Makan,
2025-05-22,beli earphone,309000,Pengeluaran,Belanja,
2025-05-23,bayar seminar,336000,Pengeluaran,Pendidikan,
2025-05-23,isi pulsa telkomsel,388000,Pengeluaran,Tagihan,
2025-05-23,main billiard,85000,Pengeluaran,Hiburan,
2025-05-24,isi saldo e-money,298000,Pengeluaran,Tagihan,
2025-05-24,beli token busway,80000,Pengeluaran,Transport,
2025-05-24,isi pulsa telkomsel,255000,Pengeluaran,Tagihan,
2025-05-24,beli komik,191000,Pengeluaran,Hiburan,
2025-05-24,beli merchandise anime,38000,Pengeluaran,Hiburan,
2025-05-24,beli nasi goreng,42000,Pengeluaran,Makan,
2025-05-24,bayar dokter umum,182000,Pengeluaran,Kesehatan,
2025-05-24,beli obat flu di apotek,79000,Pengeluaran,Kesehatan,
2025-05-24,bayar youtube premium,140000,Pengeluaran,Hiburan,
2025-05-24,beli nasi goreng,18000,Pengeluaran,Makan,
2025-05-25,makan malam warung,45000,Pengeluaran,Makan,
2025-05-25,bayar kos bulanan,783000,Pengeluaran,Tagihan,
2025-05-25,nonton bioskop,175000,Pengeluaran,Hiburan,
2025-05-25,beli minyak kayu putih,54000,Pengeluaran,Kesehatan,
2025-05-25,naik bus trans,45000,Pengeluaran,Transport,
2025-05-25,beli sate,28000,Pengeluaran,Makan,
2025-05-25,main bowling,81000,Pengeluaran,Hiburan,
2025-05-25,beli deterjen,40000,Pengeluaran,Belanja,
2025-05-25,beli roti bakar,9000,Pengeluaran,Makan,
2025-05-25,main game arcade,161000,Pengeluaran,Hiburan,
2025-05-25,beli kopi susu,11000,Pengeluaran,Makan,
2025-05-25,beli nasi goreng,15000,Pengeluaran,Makan,
2025-05-25,bayar kartu pelajar,638000,Pengeluaran,Tagihan,
2025-05-26,beli komik,108000,Pengeluaran,Hiburan,
2025-05-26,makan malam warung,17000,Pengeluaran,Makan,
2025-05-26,print dan jilid laporan,353000,Pengeluaran,Pendidikan,
2025-05-27,beli jurnal ilmiah,348000,Pengeluaran,Pendidikan,
2025-05-27,beli pecel lele,9000,Pengeluaran,Makan,
2025-05-27,beli charger laptop,194000,Pengeluaran,Belanja,
2025-05-27,bayar air pdam,406000,Pengeluaran,Tagihan,
2025-05-27,beli masker kesehatan,187000,Pengeluaran,Kesehatan,
2025-05-27,beli kertas hvs,307000,Pengeluaran,Pendidikan,
2025-05-27,isi bensin pertalite,12000,Pengeluaran,Transport,
2025-05-27,beli token busway,49000,Pengeluaran,Transport,
2025-05-27,isi saldo e-money,663000,Pengeluaran,Tagihan,
2025-05-27,beli earphone,143000,Pengeluaran,Belanja,
2025-05-28,bayar disney plus,188000,Pengeluaran,Hiburan,
2025-05-28,beli es teh,14000,Pengeluaran,Makan,
2025-05-28,naik angkot,28000,Pengeluaran,Transport,
2025-05-28,naik gojek ke kampus,79000,Pengeluaran,Transport,
2025-05-29,bayar spp semester,44000,Pengeluaran,Pendidikan,
2025-05-29,isi bensin pertamax,9000,Pengeluaran,Transport,
2025-05-29,beli alat mandi,261000,Pengeluaran,Belanja,
2025-05-29,beli ayam geprek,28000,Pengeluaran,Makan,
2025-05-29,bayar bensin motor,29000,Pengeluaran,Transport,
2025-05-30,beli roti bakar,39000,Pengeluaran,Makan,
2025-05-30,grab car ke stasiun,45000,Pengeluaran,Transport,
2025-05-30,beli sabun mandi,326000,Pengeluaran,Belanja,
2025-05-30,beli roti bakar,27000,Pengeluaran,Makan,
2025-05-30,naik angkot,30000,Pengeluaran,Transport,
2025-05-30,beli kopi susu,38000,Pengeluaran,Makan,
2025-05-30,beli alat mandi,122000,Pengeluaran,Belanja,
2025-05-30,grab motor ke rumah sakit,40000,Pengeluaran,Transport,
2025-05-30,beli bubble tea,15000,Pengeluaran,Makan,
2025-05-31,beli roti bakar,27000,Pengeluaran,Makan,
2025-05-31,makan malam warung,18000,Pengeluaran,Makan,
2025-05-31,beli martabak,24000,Pengeluaran,Makan,
2025-05-31,nonton film bioskop,136000,Pengeluaran,Hiburan,
2025-05-31,isi bensin pertamax,7000,Pengeluaran,Transport,
2025-05-31,beli powerbank,103000,Pengeluaran,Belanja,
2025-05-31,bayar cicilan hp,554000,Pengeluaran,Tagihan,
2026-06-10,Beli Tomoro Coffee,20000,Pengeluaran,Makanan & Minuman,1
